spec,term,coef,se,t,p,ci_low,ci_high,n,r2,r2_adj
M3: + economy,health_exp_gdp,0.29582673154205397,0.7120765360879613,0.4154423247355971,0.6778181281845639,-1.0998176334263863,1.6914710965104942,38,0.3749050141582281,0.25391888786627215
M4: + ethnic frac,const,30.16483917568894,57.54849898097562,0.5241637872372802,0.6001646256120301,-82.62814619136329,142.95782454274115,38,0.374938841565,0.2290912379301666
M4: + ethnic frac,cohesion_2019,-1.5653760791962843,1.5645632821149553,-1.0005195041265638,0.3170591635872776,-4.631863763675376,1.5011116052828082,38,0.374938841565,0.2290912379301666
M4: + ethnic frac,log_pop,1.6325983044506827,1.4300199772937727,1.1416611868180173,0.25359488003092856,-1.1701893482178978,4.435385957119263,38,0.374938841565,0.2290912379301666
M4: + ethnic frac,urban_pct,-0.022516318857504346,0.12006526185841358,-0.1875340003343899,0.8512419681299395,-0.2578399078943656,0.2128072701793569,38,0.374938841565,0.2290912379301666
M4: + ethnic frac,pop_density,-0.0035115231518215717,0.009385736786559398,-0.37413398986962404,0.7083046317225525,-0.02190722922185069,0.014884182918207547,38,0.374938841565,0.2290912379301666
M4: + ethnic frac,log_gdp_pc,-0.5120052234265806,5.24032641627031,-0.0977048341563023,0.9221666768250825,-10.78285626655024,9.758845819697079,38,0.374938841565,0.2290912379301666
M4: + ethnic frac,health_exp_gdp,0.29524612033595954,0.7469077306222551,0.3952912899830177,0.6926279267008995,-1.168666131458205,1.759158372130124,38,0.374938841565,0.2290912379301666
M4: + ethnic frac,ethnic_frac,-0.22096441491500762,7.360541001739533,-0.03002013233304272,0.9760509971257656,-14.647359685054864,14.205430855224849,38,0.374938841565,0.2290912379301666
M5: + region FE,const,19.156299453159193,69.9957706893848,0.2736779560320541,0.7843321197397766,-118.03289016815935,156.34548907447774,38,0.7435045755349969,0.5686213315815858
M5: + region FE,cohesion_2019,-1.0910098207140932,1.2541722301466234,-0.869904303802473,0.38435270329044025,-3.549142222211755,1.3671225807835685,38,0.7435045755349969,0.5686213315815858
M5: + region FE,log_pop,1.0474173431803848,1.2687833501652621,0.8255289155898493,0.40907137332280585,-1.439352327327601,3.5341870136883706,38,0.7435045755349969,0.5686213315815858
M5: + region FE,urban_pct,-0.14874383247963852,0.1453720157826083,-1.0231944000974196,0.30621594011076647,-0.4336677477735391,0.13618008281426208,38,0.7435045755349969,0.5686213315815858
M5: + region FE,pop_density,0.0151137119135329,0.008037574980016959,1.8803820743331978,0.060056024805615074,-0.0006396455703405815,0.030867069397406383,38,0.7435045755349969,0.5686213315815858
M5: + region FE,log_gdp_pc,3.0537385564231876,6.023455088316253,0.5069745705162723,0.6121726613669016,-8.7520164791712,14.859493592017575,38,0.7435045755349969,0.5686213315815858
M5: + region FE,health_exp_gdp,-0.336177391891082,1.039281605998138,-0.3234709341056925,0.7463386165549654,-2.373131909442379,1.700777125660215,38,0.7435045755349969,0.5686213315815858
M5: + region FE,ethnic_frac,-11.877594926287806,6.7054703721108595,-1.7713291189367792,0.07650598792656774,-25.020075355025483,1.2648855024498733,38,0.7435045755349969,0.5686213315815858
M5: + region FE,reg_E_Asia,-15.921774496534084,10.504812675533396,-1.5156647708356812,0.1296041399900256,-36.51082900491939,4.667280011851215,38,0.7435045755349969,0.5686213315815858
M5: + region FE,reg_E_Europe,-7.429197602923448,10.725253572739597,-0.6926826999975327,0.4885086982147535,-28.4503083305526,13.591913124705702,38,0.7435045755349969,0.5686213315815858
M5: + region FE,reg_L_America,7.856728572939737,11.252921616106173,0.698194552576861,0.485055532736859,-14.198592515480623,29.912049661360097,38,0.7435045755349969,0.5686213315815858
M5: + region FE,reg_N_America,10.67889247924576,17.19652532390031,0.6209912920259464,0.5346053526879997,-23.025677814829834,44.383462773321355,38,0.7435045755349969,0.5686213315815858
M5: + region FE,reg_N_Europe,-5.123742962142135,9.70170449140398,-0.5281281208556635,0.5974104141903637,-24.138734353944418,13.891248429660148,38,0.7435045755349969,0.5686213315815858
