iso3,year,v2smpolsoc,v2smpolsoc_codelow,v2smpolsoc_codehigh,stringency_mean,stringency_max,p_score_mean,p_score_peak,cum_excess_per_100k,population,urban_pct,health_exp_gdp,gdp_pc_ppp,pop_density,ethnic_frac,region
ISR,2021,-1.318,-1.921,-0.558,51.76079452054794,87.04,14.094615384615384,39.17,80.81858,9371400.0,91.5353517549466,7.83961058,46162.0822730247,433.059149722736,0.3436,W_Asia
ISR,2022,-1.318,-1.921,-0.558,20.001534246575343,48.91,15.626153846153848,48.96,135.6293,9557500.0,91.4979834273327,7.12004995,48098.187235579,441.658964879852,0.3436,W_Asia
ISR,2023,-1.318,-1.921,-0.558,,,11.498867924528303,150.25,160.36047000000002,9849000.0,91.5089569794505,7.09822369,47527.151024672,455.129390018484,0.3436,W_Asia
ISR,2024,-1.318,-1.921,-0.558,,,14.01923076923077,28.9,,9974400.0,91.536188843818,,47338.8424624205,,0.3436,W_Asia
ITA,2019,-0.754,-1.205,-0.314,,,,,,59729081.0,69.5050010681153,8.61536789,49690.6298505274,201.980545589195,0.1145,S_Europe
ITA,2020,-0.658,-1.014,-0.174,64.64532786885246,93.52,15.444615384615386,84.9,167.4199,59438851.0,69.5187492370606,9.5643034,45505.0688708956,200.999100491348,0.1145,S_Europe
ITA,2021,-0.658,-1.014,-0.174,64.68709589041096,83.33,9.939038461538463,25.56,282.08127,59133173.0,69.4812507629394,9.28164482,49825.3934111848,199.965416259464,0.1145,S_Europe
ITA,2022,-0.658,-1.014,-0.174,27.48643835616438,53.5,10.570576923076922,35.89,404.24768,59013667.0,69.4839779766539,8.85022926,52333.3274270604,199.559268903016,0.1145,S_Europe
ITA,2023,-0.658,-1.014,-0.174,,,2.539433962264151,18.47,442.19897000000003,58984216.0,69.5381540123301,8.40559483,52870.3261442897,199.459678073854,0.1145,S_Europe
ITA,2024,-0.641,-1.031,-0.16,,,-5.871428571428571,4.49,,58952704.0,69.6047535143071,8.44437313,53265.0032474189,,0.1145,S_Europe
JPN,2019,1.851,1.372,2.313,,,,,,126633000.0,91.7164207898107,10.96998405,44730.9102844958,347.415637860082,0.0119,E_Asia
JPN,2020,2.253,1.658,2.838,32.56775956284153,47.22,3.5508333333333333,8.27,-22.359417999999998,126261000.0,91.7809926267889,11.44974613,42992.4796365328,346.395061728395,0.0119,E_Asia
JPN,2021,2.253,1.658,2.838,48.84783561643835,55.09,8.746666666666668,13.05,-10.5506226,125681593.0,91.8741049279527,12.08108234,44355.3487163354,344.80546776406,0.0119,E_Asia
JPN,2022,2.253,1.658,2.838,39.68030136986301,47.22,18.339166666666667,29.08,85.97607400000001,125124989.0,91.9776532428406,12.32275677,44972.3438362201,343.278433470508,0.0119,E_Asia
JPN,2023,2.128,1.486,2.723,,,18.791666666666668,25.89,170.21893,124516650.0,92.0826903891473,10.73979473,45858.6595131439,341.54455749932,0.0119,E_Asia
JPN,2024,2.128,1.486,2.723,,,19.31,22.65,,123975371.0,92.1901718034531,,46106.9229230044,,0.0119,E_Asia
KOR,2019,-1.507,-1.878,-1.008,,,,,,51764822.0,81.2901063535619,7.69397116,49790.8679884821,530.377274590164,0.002,E_Asia
KOR,2020,-1.507,-1.878,-1.008,49.42956284153006,82.41,6.038076923076924,15.74,0.5177004000000001,51836239.0,81.1759595622913,8.02722836,49374.0926148025,531.109006147541,0.002,E_Asia
KOR,2021,-1.122,-1.471,-0.759,51.27865753424657,67.59,10.526730769230769,25.08,14.687982,51769539.0,81.1616526507785,8.34412766,51718.2518656631,530.425604508197,0.002,E_Asia
KOR,2022,-1.122,-1.471,-0.759,21.521123287671234,46.39,29.596923076923076,88.65,124.87174,51672569.0,81.1624941626873,8.8595314,53228.6035655365,529.43205942623,0.002,E_Asia
KOR,2023,-0.946,-1.269,-0.54,,,21.407999999999998,33.05,165.01195,51712619.0,81.1645551720421,8.5650692,54029.3434990785,529.842407786885,0.002,E_Asia
KOR,2024,-2.006,-2.692,-1.389,,,,,,51751065.0,81.1682528469686,8.67656994,55070.9386194121,,0.002,E_Asia
LTU,2019,2.121,1.459,2.603,,,,,,2811089.0,67.245735168457,6.94472647,43062.3228425315,44.8912328329607,0.3223,N_Europe
LTU,2020,2.027,1.397,2.502,47.048114754098364,87.04,7.931538461538461,75.19,193.11633,2810369.0,67.4254608154297,7.41619062,43091.7973723526,44.8797349089748,0.3223,N_Europe
LTU,2021,1.258,0.873,1.639,46.80186301369863,79.63,19.757115384615382,63.3,594.00317,2808380.0,68.1912117004395,7.73210812,45873.5273239486,44.8551349624661,0.3223,N_Europe
LTU,2022,1.158,0.784,1.53,14.178054794520547,27.18,5.719615384615385,25.47,835.8041999999999,2831639.0,68.2866452426813,7.24367952,46651.2145810247,45.2309596830873,0.3223,N_Europe
LTU,2023,1.249,0.819,1.586,,,-4.706981132075471,26.58,958.0695,2871585.0,68.575454583199,7.31801939,46159.7081733083,45.87196485623,0.3223,N_Europe
LTU,2024,0.89,0.539,1.174,,,-8.241428571428571,7.41,,2888278.0,68.8285833315315,7.59519005,47165.3665643051,,0.3223,N_Europe
LUX,2019,2.479,1.904,3.062,,,,,,620001.0,93.2589839734767,5.46640301,132724.752743888,240.827591028798,0.5302,W_Europe
LUX,2020,1.577,1.004,2.061,42.729207650273224,79.63,10.886153846153848,80.59,18.749969999999998,630419.0,93.8600689970981,5.7671175,129865.629988164,244.874264894386,0.5302,W_Europe
LUX,2021,1.577,1.004,2.061,46.043342465753426,67.59,7.804615384615384,51.88,5.7091022,640064.0,94.5861743396533,5.60806084,136772.443753292,248.62068161867,0.5302,W_Europe
LUX,2022,1.577,1.004,2.061,22.981342465753425,54.53,7.659230769230769,44.89,-25.494089,653103.0,94.7605400940185,5.60926914,132570.826463419,253.685433061691,0.5302,W_Europe
LUX,2023,1.974,1.426,2.509,,,7.565849056603774,56.68,-73.216425,666430.0,94.8015300320787,5.78777981,130048.92038753,258.862052624628,0.5302,W_Europe
LUX,2024,1.974,1.426,2.509,,,2.9618181818181815,22.78,,677012.0,94.8438702866393,5.89136267,128475.279802738,,0.5302,W_Europe
LVA,2019,0.651,0.308,1.058,,,,,,1913822.0,68.066323694246,6.86276913,35208.1934590859,30.755491989008,0.5867,N_Europe
LVA,2020,0.536,0.215,0.94,40.644617486338795,67.59,1.0265384615384616,40.41,29.698642,1900449.0,68.1211222872228,7.50587368,34225.8976044058,30.5391129680219,0.5867,N_Europe
